BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMV5,AAMDC,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,3.0,0.03162277660168379
Treat_TMEMmyc,AAMDC,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,AAMP,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,5.0,5.0,0.03162277660168379
Treat_TMEMV5,AAMP,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,3.0,0.03162277660168379
Treat_TMEMmyc,AAR2,0.00854752490902592,3.2802024965459133e-11,0.9914524750571806,6.335755677369333,7.9196945967109125,9.503633516082807,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,11.0,0.03162277660168379
Treat_TMEMV5,AAR2,0.29133993395450675,1.8009527873921048e-10,0.7086600658646892,5.789256068919965,7.2365700861392535,8.683884103366202,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,6.0,0.03162277660168379
Treat_TMEMV5,AARS1,3.264105135966395e-09,5.790646420720964e-14,0.9999999967348367,5.789256068911337,7.2365700861392535,8.683884103533323,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,39.0,24.0,0.03162277660168379
Treat_TMEMmyc,AARS1,2.2761225389044188e-07,2.8901225414543915e-13,0.999999772386457,6.335755677368679,7.9196945967109125,9.503633516169575,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,32.0,22.0,0.03162277660168379
Treat_TMEMmyc,AARS2,6.844954360368273e-11,7.53861275342771e-15,0.9999999999305429,6.335755677368679,7.9196945967109125,9.503633516236125,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,35.0,39.0,0.03162277660168379
Treat_TMEMV5,AARS2,1.4507133962802253e-09,4.021282243589565e-14,0.9999999985482464,5.789256068911337,7.2365700861392535,8.683884103540606,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,29.0,36.0,0.03162277660168379
Treat_TMEMmyc,AARSD1,0.01276672541180415,3.919492018025142e-11,0.9872332745480135,6.335755677369592,7.9196945967109125,9.503633516079395,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,14.0,13.0,0.03162277660168379
Treat_TMEMV5,AARSD1,0.07510829531610355,1.1335228195843922e-10,0.9248917045696192,5.789256068915203,7.2365700861392535,8.683884103379384,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,12.0,9.0,0.03162277660168379
Treat_TMEMV5,AASDH,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
Treat_TMEMmyc,AASDH,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMV5,AASDHPPT,0.0001236184192643072,6.628049701505311e-12,0.9998763815731078,5.789256068911354,7.2365700861392535,8.683884103438634,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,20.0,17.0,0.03162277660168379
Treat_TMEMmyc,AASDHPPT,0.0057146319255852686,2.7413125595805894e-11,0.9942853680460073,6.335755677369145,7.9196945967109125,9.5036335160862,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,16.0,13.0,0.03162277660168379
Treat_TMEMV5,AASS,1.6524532034122597e-08,1.2007484260538593e-13,0.9999999834743478,5.789256068911337,7.2365700861392535,8.683884103518757,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,34.0,25.0,0.03162277660168379
Treat_TMEMmyc,AASS,7.68190941666061e-07,4.994129052261379e-13,0.9999992318075589,6.335755677368679,7.9196945967109125,9.503633516159594,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,26.0,25.0,0.03162277660168379
Treat_TMEMV5,AATF,0.9404924686576229,7.803106158919648e-11,0.05950753126340539,5.7892560688929535,7.2365700861392535,8.68388410336512,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,2.0,0.03162277660168379
Treat_TMEMmyc,AATF,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,2.0,0.03162277660168379
Treat_TMEMV5,ABCA3,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,2.0,0.03162277660168379
Treat_TMEMmyc,ABCA3,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,3.0,0.03162277660168379
Treat_TMEMV5,ABCB1,0.9404924686576229,7.803106158919648e-11,0.05950753126340539,5.7892560688929535,7.2365700861392535,8.68388410336512,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,3.0,0.03162277660168379
Treat_TMEMmyc,ABCB1,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,2.0,0.03162277660168379
Treat_TMEMV5,ABCB10,2.5157589785662764e-11,6.494595333548311e-15,0.9999999999738358,5.789256068911337,7.2365700861392535,8.683884103577022,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,35.0,40.0,0.03162277660168379
Treat_TMEMmyc,ABCB10,8.881077538248327e-09,6.721502798537958e-14,0.9999999911178551,6.335755677368679,7.9196945967109125,9.503633516196196,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,29.0,33.0,0.03162277660168379
Treat_TMEMV5,ABCB6,0.9133178241522387,9.472053440397932e-11,0.08668217575212736,5.7892560688984736,7.2365700861392535,8.683884103364509,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,4.0,0.03162277660168379
Treat_TMEMmyc,ABCB6,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,6.0,4.0,0.03162277660168379
Treat_TMEMV5,ABCB7,2.143992956262432e-06,1.0705970806944612e-12,0.9999978560049732,5.789256068911338,7.2365700861392535,8.683884103475057,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,29.0,18.0,0.03162277660168379
Treat_TMEMmyc,ABCB7,9.966010494242166e-05,4.452375281307186e-12,0.9999003398896052,6.3357556773686925,7.9196945967109125,9.503633516119658,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,24.0,15.0,0.03162277660168379
Treat_TMEMV5,ABCB8,0.034835019550115684,8.214449177729426e-11,0.9651649803667747,5.78925606891351,7.2365700861392535,8.683884103386946,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,14.0,9.0,0.03162277660168379
Treat_TMEMmyc,ABCB8,0.3320609973837188,1.3682895737051621e-10,0.6679390024787842,6.33575567737751,7.9196945967109125,9.5036335160509,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,9.0,9.0,0.03162277660168379
Treat_TMEMV5,ABCC1,0.051358000842880655,9.6885879380384e-11,0.9486419990592847,5.789256068914261,7.2365700861392535,8.683884103383154,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,12.0,10.0,0.03162277660168379
Treat_TMEMmyc,ABCC1,0.06144472754006427,7.726714002125585e-11,0.93855527238173,6.335755677371847,7.9196945967109125,9.503633516065609,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,10.0,13.0,0.03162277660168379
Treat_TMEMV5,ABCC10,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,ABCC10,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMV5,ABCC4,0.0001236184192643072,6.628049701505311e-12,0.9998763815731078,5.789256068911354,7.2365700861392535,8.683884103438634,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,21.0,16.0,0.03162277660168379
Treat_TMEMmyc,ABCC4,0.00854752490902592,3.2802024965459133e-11,0.9914524750571806,6.335755677369333,7.9196945967109125,9.503633516082807,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,15.0,13.0,0.03162277660168379
Treat_TMEMmyc,ABCC5,0.9502780336897603,5.255580867448235e-11,0.04972196625673359,6.3357556773512655,7.9196945967109125,9.503633516051483,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,5.0,0.03162277660168379
Treat_TMEMV5,ABCC5,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,3.0,0.03162277660168379
Treat_TMEMV5,ABCD1,0.9815975227777658,4.1698036767648384e-11,0.018402477179554507,5.789256068876065,7.2365700861392535,8.68388410336632,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,2.0,0.03162277660168379
Treat_TMEMmyc,ABCD1,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,2.0,0.03162277660168379
Treat_TMEMV5,ABCD3,4.0644638724339763e-26,1.4498645295301857e-21,0.9999999999989999,5.789256068911337,7.2365700861392535,8.68388410388291,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,83.0,76.0,0.03162277660168379
Treat_TMEMmyc,ABCD3,1.1224148111882595e-28,7.585523896654853e-23,0.9999999999989999,6.335755677368679,7.9196945967109125,9.503633516572195,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,89.0,86.0,0.03162277660168379
Treat_TMEMV5,ABCD4,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,ABCD4,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,3.0,0.03162277660168379
Treat_TMEMV5,ABCE1,3.463845578168859e-21,2.3900242955575344e-19,0.9999999999989999,5.789256068911337,7.2365700861392535,8.683884103780947,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,71.0,60.0,0.03162277660168379
Treat_TMEMmyc,ABCE1,1.610270593106294e-19,9.940549159232748e-19,0.9999999999989999,6.335755677368679,7.9196945967109125,9.50363351639917,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,66.0,57.0,0.03162277660168379
Treat_TMEMmyc,ABCF1,7.796830822262965e-10,2.251017705283636e-14,0.9999999992192943,6.335755677368679,7.9196945967109125,9.50363351621616,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,40.0,28.0,0.03162277660168379
Treat_TMEMV5,ABCF1,2.1760700929278216e-09,4.825538688997893e-14,0.9999999978228815,5.789256068911337,7.2365700861392535,8.683884103536965,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,38.0,26.0,0.03162277660168379
Treat_TMEMV5,ABCF2,5.195768367746052e-21,2.868029154941167e-19,0.9999999999989999,5.789256068911337,7.2365700861392535,8.683884103777306,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,65.0,65.0,0.03162277660168379
Treat_TMEMmyc,ABCF2,1.610270593106294e-19,9.940549159232748e-19,0.9999999999989999,6.335755677368679,7.9196945967109125,9.50363351639917,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,61.0,62.0,0.03162277660168379
Treat_TMEMV5,ABCF3,9.528868932807317e-07,7.4347108044254e-13,0.9999990471113632,5.789256068911337,7.2365700861392535,8.68388410348234,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,28.0,21.0,0.03162277660168379
Treat_TMEMmyc,ABCF3,2.592639698137277e-06,8.629839258116598e-13,0.9999974073584389,6.335755677368681,7.9196945967109125,9.50363351614961,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,23.0,25.0,0.03162277660168379
Treat_TMEMV5,ABHD10,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,0.0,0.03162277660168379
Treat_TMEMmyc,ABHD10,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,0.0,0.03162277660168379
Treat_TMEMV5,ABHD11,0.9133178241522387,9.472053440397932e-11,0.08668217575212736,5.7892560688984736,7.2365700861392535,8.683884103364509,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,4.0,0.03162277660168379
Treat_TMEMmyc,ABHD11,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,3.0,0.03162277660168379
Treat_TMEMV5,ABHD12,0.29133993395450675,1.8009527873921048e-10,0.7086600658646892,5.789256068919965,7.2365700861392535,8.683884103366202,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,8.0,9.0,0.03162277660168379
Treat_TMEMmyc,ABHD12,0.6265670092828307,1.3218970542990098e-10,0.3734329905843529,6.3357556773759605,7.9196945967109125,9.50363351604816,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,8.0,0.03162277660168379
Treat_TMEMmyc,ABHD14B,0.18096719103940306,1.165145121269136e-10,0.8190328088432632,6.335755677375299,7.9196945967109125,9.503633516055846,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,10.0,10.0,0.03162277660168379
Treat_TMEMV5,ABHD14B,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,6.0,0.03162277660168379
Treat_TMEMV5,ABHD16A,0.2151173841386385,1.6622174281185e-10,0.7848826156943548,5.789256068918883,7.2365700861392535,8.683884103368959,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,8.0,0.03162277660168379
Treat_TMEMmyc,ABHD16A,0.4271684974125395,1.4081514079176955e-10,0.5728315024460726,6.335755677377908,7.9196945967109125,9.503633516049314,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,10.0,7.0,0.03162277660168379
Treat_TMEMV5,ABHD17B,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,5.0,0.03162277660168379
Treat_TMEMmyc,ABHD17B,0.9897702046676986,2.2421484147619252e-11,0.010229795308889985,6.335755677330781,7.9196945967109125,9.503633516052664,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,2.0,0.03162277660168379
Treat_TMEMmyc,ABHD18,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,2.0,0.03162277660168379
Treat_TMEMV5,ABHD18,0.9944758773588304,2.1629494427258315e-11,0.005524122618545647,5.789256068859305,7.2365700861392535,8.683884103366841,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,1.0,0.03162277660168379
Treat_TMEMV5,ABHD6,0.824031743579531,1.3353225229701976e-10,0.17596825628611265,5.789256068908733,7.2365700861392535,8.68388410336307,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,5.0,0.03162277660168379
Treat_TMEMmyc,ABHD6,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,3.0,0.03162277660168379
Treat_TMEMmyc,ABI1,0.041819684738615436,6.573565311684826e-11,0.9581803151946906,6.3357556773710435,7.9196945967109125,9.503633516069057,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,13.0,11.0,0.03162277660168379
Treat_TMEMV5,ABI1,0.824031743579531,1.3353225229701976e-10,0.17596825628611265,5.789256068908733,7.2365700861392535,8.68388410336307,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,5.0,0.03162277660168379
Treat_TMEMmyc,ABI2,0.028273925374420746,5.5554129660556184e-11,0.9717260745690534,6.335755677370419,7.9196945967109125,9.503633516072515,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,15.0,10.0,0.03162277660168379
Treat_TMEMV5,ABI2,0.4805211142474434,1.901055341610159e-10,0.5194788855619316,5.789256068920318,7.2365700861392535,8.68388410336267,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,8.0,7.0,0.03162277660168379
Treat_TMEMmyc,ABL1,0.18096719103940306,1.165145121269136e-10,0.8190328088432632,6.335755677375299,7.9196945967109125,9.503633516055846,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,13.0,7.0,0.03162277660168379
Treat_TMEMV5,ABL1,0.6754578241426972,1.7102535280816258e-10,0.324542175685602,5.789256068916582,7.2365700861392535,8.68388410336199,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,7.0,0.03162277660168379
Treat_TMEMmyc,ABL2,0.00854752490902592,3.2802024965459133e-11,0.9914524750571806,6.335755677369333,7.9196945967109125,9.503633516082807,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,11.0,0.03162277660168379
Treat_TMEMV5,ABL2,0.01578776825345473,5.8170548283225735e-11,0.9842122316873904,5.789256068912494,7.2365700861392535,8.683884103394506,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,14.0,11.0,0.03162277660168379
Treat_TMEMmyc,ABLIM1,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,1.0,0.03162277660168379
Treat_TMEMV5,ABLIM1,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,0.0,1.0,0.03162277660168379
Treat_TMEMV5,ABR,0.7573931661674845,1.5341704998128562e-10,0.24260683367834102,5.7892560689130805,7.2365700861392535,8.683884103362407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,6.0,0.03162277660168379
Treat_TMEMmyc,ABR,0.7905836945143103,1.0674755525649577e-10,0.2094163053781514,6.335755677369975,7.9196945967109125,9.503633516048954,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,5.0,0.03162277660168379
Treat_TMEMmyc,ABRAXAS1,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,1.0,0.03162277660168379
Treat_TMEMV5,ABRAXAS1,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
Treat_TMEMmyc,ABRAXAS2,0.0057146319255852686,2.7413125595805894e-11,0.9942853680460073,6.335755677369145,7.9196945967109125,9.5036335160862,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,14.0,15.0,0.03162277660168379
Treat_TMEMV5,ABRAXAS2,0.07510829531610355,1.1335228195843922e-10,0.9248917045696192,5.789256068915203,7.2365700861392535,8.683884103379384,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,10.0,0.03162277660168379
Treat_TMEMV5,ABT1,0.010580861565768871,4.873191295224401e-11,0.9894191383845097,5.789256068912172,7.2365700861392535,8.683884103398253,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,15.0,0.03162277660168379
Treat_TMEMmyc,ABT1,0.01902862152468172,4.6735574095458384e-11,0.9809713784276016,6.335755677369945,7.9196945967109125,9.503633516075967,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,9.0,0.03162277660168379
Treat_TMEMV5,ABTB2,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,ABTB2,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,1.0,0.03162277660168379
Treat_TMEMV5,ACAA1,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,9.0,0.03162277660168379
Treat_TMEMmyc,ACAA1,0.7905836945143103,1.0674755525649577e-10,0.2094163053781514,6.335755677369975,7.9196945967109125,9.503633516048954,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,6.0,0.03162277660168379
Treat_TMEMV5,ACAA2,0.004730411713381417,3.404171212985663e-11,0.9952695882515816,5.789256068911762,7.2365700861392535,8.683884103405685,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,11.0,0.03162277660168379
Treat_TMEMmyc,ACAA2,0.18096719103940306,1.165145121269136e-10,0.8190328088432632,6.335755677375299,7.9196945967109125,9.503633516055846,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,12.0,8.0,0.03162277660168379
Treat_TMEMV5,ACACA,2.3437746824050342e-24,8.977179025323838e-21,0.9999999999989999,5.789256068911337,7.2365700861392535,8.683884103846495,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,95.0,54.0,0.03162277660168379
Treat_TMEMmyc,ACACA,1.6836222169655575e-28,9.102628676976275e-23,0.9999999999989999,6.335755677368679,7.9196945967109125,9.503633516568868,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,100.0,74.0,0.03162277660168379
Treat_TMEMV5,ACAD10,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,6.0,0.03162277660168379
Treat_TMEMmyc,ACAD10,0.8499121843822196,9.180664715958018e-11,0.1500878155251238,6.335755677365831,7.9196945967109125,9.503633516049641,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,5.0,0.03162277660168379
Treat_TMEMV5,ACAD11,0.034835019550115684,8.214449177729426e-11,0.9651649803667747,5.78925606891351,7.2365700861392535,8.683884103386946,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,13.0,0.03162277660168379
Treat_TMEMmyc,ACAD11,0.041819684738615436,6.573565311684826e-11,0.9581803151946906,6.3357556773710435,7.9196945967109125,9.503633516069057,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,12.0,12.0,0.03162277660168379
Treat_TMEMmyc,ACAD8,0.9662933691314884,4.2753238636047455e-11,0.03370663082479184,6.33575567734615,7.9196945967109125,9.503633516051906,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,5.0,0.03162277660168379
Treat_TMEMV5,ACAD8,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,2.0,0.03162277660168379
Treat_TMEMmyc,ACAD9,2.592639698137277e-06,8.629839258116598e-13,0.9999974073584389,6.335755677368681,7.9196945967109125,9.50363351614961,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,25.0,23.0,0.03162277660168379
Treat_TMEMV5,ACAD9,5.494529314361791e-05,4.603128421150561e-12,0.9999450547012533,5.789256068911346,7.2365700861392535,8.683884103445923,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,23.0,16.0,0.03162277660168379
Treat_TMEMV5,ACADM,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,6.0,0.03162277660168379
Treat_TMEMmyc,ACADM,0.9662933691314884,4.2753238636047455e-11,0.03370663082479184,6.33575567734615,7.9196945967109125,9.503633516051906,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,6.0,2.0,0.03162277660168379
Treat_TMEMV5,ACADSB,0.004730411713381417,3.404171212985663e-11,0.9952695882515816,5.789256068911762,7.2365700861392535,8.683884103405685,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,11.0,0.03162277660168379
Treat_TMEMmyc,ACADSB,0.028273925374420746,5.5554129660556184e-11,0.9717260745690534,6.335755677370419,7.9196945967109125,9.503633516072515,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,15.0,10.0,0.03162277660168379
Treat_TMEMV5,ACADVL,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,2.0,0.03162277660168379
Treat_TMEMmyc,ACADVL,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,1.0,0.03162277660168379
Treat_TMEMV5,ACAP2,0.9876559615507305,3.356431828102796e-11,0.012344038414717283,5.789256068870452,7.2365700861392535,8.68388410336655,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,3.0,1.0,0.03162277660168379
Treat_TMEMmyc,ACAP2,0.996946971552935,1.1563039252444136e-11,0.0030530284345049357,6.3357556773155785,7.9196945967109125,9.503633516052968,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,1.0,1.0,0.03162277660168379
Treat_TMEMmyc,ACAT1,4.42958324883445e-05,3.0920984779649583e-12,0.9999557041634196,6.335755677368685,7.9196945967109125,9.503633516126314,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,23.0,18.0,0.03162277660168379
Treat_TMEMV5,ACAT1,0.0002780984707358829,9.542916970049033e-12,0.9997219015187213,5.7892560689113735,7.2365700861392535,8.68388410343134,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,18.0,0.03162277660168379
Treat_TMEMV5,ACAT2,0.9876559615507305,3.356431828102796e-11,0.012344038414717283,5.789256068870452,7.2365700861392535,8.68388410336655,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,2.0,0.03162277660168379
Treat_TMEMmyc,ACAT2,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMV5,ACBD3,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,5.0,0.03162277660168379
